cueanexo,nombre,est_sector,est_ambito,est_barrio,est_localidad,nivel,lat,lon,barrio_asignado
140061802,C.E.N.M.A. Nº 70 COMPAÑERO HUGO ESTANISLAO OCHOA ANEXO BARRIO CIUDAD OBISPO ANGELELLI,Estatal,Urbano,CIUDAD OBISPO ANGELELLI,CORDOBA,"[""7. Jóvenes y Adultos - Secundario""]",-31.5054,-64.1947,VILLA RIVADAVIA
140072500,I.P.E.T. Nº 64 MALVINAS ARGENTINAS,Estatal,Urbano,SAN VICENTE,CORDOBA,"[""2. Común - Secundario""]",-31.4229,-64.164,CRISOL SUD
140074100,C.E.N.M.A. Nº 19,Estatal,Urbano,PUEYRREDON,CORDOBA,"[""7. Jóvenes y Adultos - Secundario""]",-31.3987,-64.1658,GENERAL PUEYRREDON
140074101,C.E.N.M.A. Nº 19 ANEXO Bº YOFRE H,Estatal,Urbano,YOFRE H,CORDOBA,"[""7. Jóvenes y Adultos - Secundario""]",-31.3856,-64.129,YOFRE NORTE
140074300,INSTITUTO SAN AGUSTIN,Privado,Urbano,COLON,CORDOBA,"[""2. Común - Secundario""]",-31.4374,-64.152,JARDIN DEL PILAR
140074102,C.E.N.M.A. Nº 19 - ANEXO SEDE MERCADO DE ABASTO,Estatal,Urbano,PALMAR,CORDOBA,"[""7. Jóvenes y Adultos - Secundario""]",-31.3928,-64.1101,CENTRO
140074200,COLEGIO SAGRADA FAMILIA,Privado,Urbano,PUEYRREDON,CORDOBA,"[""0. Común - Inicial"",""1. Común - Primario""]",-31.4013,-64.1646,GENERAL PUEYRREDON
140074103,C.E.N.M.A. Nº 19 ANEXO SEDE CPC B° PUEYRREDON,Estatal,Urbano,PUEYRREDON,CORDOBA,"[""7. Jóvenes y Adultos - Secundario""]",-31.4033,-64.1548,GENERAL PUEYRREDON
140078900,I.P.E.M. Nº 208  MARINA WAISMAN,Estatal,Urbano,CERRO DE LAS ROSAS,CORDOBA,"[""2. Común - Secundario""]",-31.3846,-64.2252,VILLA SIBURU
140077100,J.DE INF. MAESTROS PUNTANOS,Estatal,Urbano,POETA LUGONES ANEXO,CORDOBA,"[""0. Común - Inicial""]",-31.3607,-64.2225,LOS BOULEVARES
