barrio,poblacion,hogares,nbi,pct_nbi,escuelas_municipales,escuelas_total,escuelas_estatales,escuelas_privadas,centros_salud,paradas_colectivo,lineas_colectivo,luminarias_reportes,comisarias,centros_vecinales
VILLA MAFEKIN,0,542,44,8.12,0,3,3,0,0,14,3,0,0,1
VILLA LA MERCED,0,280,61,21.79,0,2,2,0,1,6,1,0,0,0
VILLA GRAN PARQUE,581,155,11,7.1,0,0,0,0,0,0,0,81,0,1
VILLA GENERAL URQUIZA,0,0,261,0.0,0,5,3,2,1,12,4,45,0,2
VILLA EUCARISTICA,0,366,6,1.64,0,3,0,3,0,0,0,9,0,2
VILLA ESQUIU,834,224,18,8.04,0,4,4,0,1,7,1,0,0,0
VILLA EL LIBERTADOR,0,0,0,0.0,0,9,6,3,1,21,6,109,0,0
VILLA CORONEL OLMEDO,0,0,66,0.0,0,8,8,0,1,23,4,46,0,1
VILLA CORNU,0,954,72,7.55,0,0,0,0,0,0,0,13,0,0
VILLA CORINA,0,0,78,0.0,0,4,1,3,0,15,2,38,0,1
VILLA CLAUDINA,334,98,6,6.12,0,2,2,0,0,9,2,0,0,0
VILLA CLARET,494,137,4,2.92,0,1,0,1,0,11,4,11,0,0
VILLA CENTENARIO,0,847,13,1.53,0,3,3,0,0,3,9,17,0,0
VILLA CABRERA,0,0,28,0.0,0,4,3,1,0,15,13,755,0,1
VILLA BUSTOS,0,538,54,10.04,0,5,5,0,1,10,2,23,0,1
VILLA BELGRANO,0,0,24,0.0,0,6,2,4,0,16,3,417,0,0
VILLA AZALAIS OESTE,0,319,14,4.39,0,4,4,0,1,9,3,0,0,0
VILLA AZALAIS ANEXO,351,82,13,15.85,0,0,0,0,0,2,2,0,0,0
VILLA AZALAIS,0,0,140,0.0,0,8,6,2,1,8,1,0,0,1
VILLA AVALOS,0,350,88,25.14,0,0,0,0,0,0,0,17,0,2
VILLA ASPACIA,0,607,43,7.08,0,0,0,0,0,8,2,0,0,1
VILLA ARGENTINA,966,313,3,0.96,0,1,1,0,0,7,3,96,0,0
VILLA ALLENDE PARQUE,0,0,138,0.0,0,3,3,0,1,29,3,85,0,1
VILLA ALICIA RISLER,0,797,100,12.55,0,3,3,0,0,11,1,85,0,1
VILLA ALBERTO,876,198,25,12.63,0,3,3,0,0,5,1,3,0,1
VILLA ALBERDI,0,547,44,8.04,0,4,1,3,0,15,6,11,0,0
VILLA ADELA,0,0,56,0.0,0,3,3,0,1,14,3,278,0,1
VILLA 9 DE JULIO,0,0,268,0.0,0,2,2,0,2,10,2,472,0,2
VILLA 4 DE AGOSTO,0,329,81,24.62,0,0,0,0,1,4,1,0,0,0
VICOR,418,93,3,3.23,0,3,3,0,1,10,2,0,0,2
VASQUEZ,119,32,13,40.62,0,0,0,0,0,4,1,0,0,0
VALLE DEL CERRO,701,216,0,0.0,0,6,0,6,0,5,2,65,0,1
URQUIZA,0,0,160,0.0,0,0,0,0,1,4,2,17,0,1
URITORCO,428,127,1,0.79,0,0,0,0,0,10,7,41,0,0
URCA,0,0,19,0.0,0,3,3,0,0,13,3,147,0,0
UOCRA,0,582,25,4.3,0,8,8,0,0,16,2,0,0,1
TRANVIARIOS,0,720,16,2.22,0,2,2,0,0,20,6,12,1,1
TEODORO FELDS,0,0,5,0.0,0,7,2,5,0,24,7,0,0,1
TENIENTE BENJAMIN MATIENZO,0,0,45,0.0,0,7,3,4,0,17,4,0,0,1
TEJAS II,687,187,6,3.21,0,0,0,0,0,1,1,0,0,0
TEJAS DEL SUR,0,406,5,1.23,0,1,0,1,0,0,0,3,0,0
TALLERES SUD,0,0,145,0.0,0,0,0,0,0,4,1,18,0,1
TALLERES OESTE,0,0,62,0.0,0,7,7,0,0,27,9,0,0,0
TALLERES ESTE,0,0,59,0.0,0,4,4,0,0,18,7,0,0,2
TABLADA PARK,748,265,0,0.0,0,0,0,0,0,7,11,17,0,0
SUAREZ,0,762,87,11.42,0,3,3,0,0,7,2,9,0,0
SOLARES DE SANTA MARIA- ALTOS DE MANANTIALES,650,192,1,0.52,0,0,0,0,0,0,0,0,0,1
SMATA,0,599,2,0.33,0,4,3,1,0,4,2,79,0,2
SEP SEGUNDA ETAPA,0,759,16,2.11,0,2,2,0,0,6,3,0,0,0
SEP,0,292,7,2.4,0,0,0,0,0,9,6,0,0,1
SARMIENTO,0,785,17,2.17,0,5,3,2,0,12,8,23,0,1
